Sub-agent,Purpose,Tools,Delegates to,Triggers,Guardrails,Owner,Plugin Location,Role Classification
sfdc-orchestrator,Coordinates complex multi-step Salesforce operations with mandatory validation framework,"Task, mcp_salesforce, Read, Write, TodoWrite, ExitPlanMode, Bash, SlashCommand","sfdc-metadata-manager, sfdc-data-operations, sfdc-conflict-resolver, sfdc-planner",Complexity > 0.7; Multiple sub-tasks; Production deployments,"Org resolution before delegation, QA workflow mode confirmation, mandatory validation framework",RevPal Engineering,salesforce-plugin,Orchestrator
sfdc-metadata-manager,Manages Salesforce metadata - fields/objects/validation rules,"Read, Write, Grep, Bash, mcp_salesforce",None,Metadata operations; Field/object creation; Validation rule updates,"Metadata API versioning, governor limits check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-data-operations,Bulk data operations - import/export/merge/dedupe,"Read, Write, Bash, mcp_salesforce","dedup-workflow-orchestrator, bulk-merge-executor-parallel",Bulk operations; Data migration; Merge/dedupe workflows,"Data integrity checks, Type 1/2 error prevention, backup validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-security-admin,Manages profiles/permission sets/security,"Read, Write, mcp_salesforce",None,Permission set creation/update; Security changes,"Security review required, FLS validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-conflict-resolver,Resolves deployment conflicts and metadata issues,"Read, Write, Grep, Bash, mcp_salesforce",None,Conflict/error/failed patterns; Deployment failures,"Conflict analysis before resolution",RevPal Engineering,salesforce-plugin,Specialist
sfdc-deployment-manager,Manages deployments and package operations,"Read, Write, Bash, mcp_salesforce",None,Deploy/package/changeset patterns,"Pre-deployment validation, rollback plan required",RevPal Engineering,salesforce-plugin,Specialist
sfdc-planner,Complex planning and strategy for unknown-scope tasks,"Read, Write, TodoWrite, ExitPlanMode, Task","Various specialists based on plan",Plan/strategy/design patterns; Complexity 0.5-0.7; Unknown scope,"Plan review required, complexity assessment",RevPal Engineering,salesforce-plugin,Hybrid
sfdc-apex-developer,Apex code development and testing,"Read, Write, Grep, Bash, mcp_salesforce",None,Apex/trigger/class/test patterns,"Code coverage > 75%, test execution required",RevPal Engineering,salesforce-plugin,Specialist
sfdc-automation-builder,Flow/workflow/process builder automation,"Read, Write, mcp_salesforce","automation-audit-v2-orchestrator, automation-inventory-orchestrator",Flow/automation/workflow creation,"Best practices validation, circular dependency check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-reports-dashboards,Reports and dashboards with analytics,"Read, Write, mcp_salesforce, mcp_salesforce_data_query",None,Report/dashboard/analytics patterns,"Query optimization, governor limits",RevPal Engineering,salesforce-plugin,Specialist
sfdc-layout-generator,AI-powered layout generation with persona detection,"Read, Write, mcp_salesforce",None,Create/generate/design layout patterns; Persona mentioned,"Persona validation, field importance analysis",RevPal Engineering,salesforce-plugin,Specialist
sfdc-field-analyzer,Field-level analysis and validation,"Read, Grep, mcp_salesforce",None,Field analysis requests,"Field dependency check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-dependency-analyzer,Circular dependency detection and resolution,"Read, Grep, Bash, mcp_salesforce",None,Dependency/circular/relationship patterns,"Dependency graph validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-query-specialist,SOQL/SOSL query optimization,"Read, Write, mcp_salesforce_data_query",None,SOQL/SOSL/query/select patterns,"Query governor limits check",RevPal Engineering,salesforce-plugin,Specialist
